,report_datetime,lamppost_district_en,no,no2,pm2_5
0,2024-03-19 01:00:00,Central and Western,92.72045714285716,83.79850952380953,11.31904761904762
1,2024-03-19 01:00:00,Kowloon City,6.846171428571428,21.2343,0.8392857142857143
2,2024-03-19 01:00:00,Yau Tsim Mong,39.59725714285714,56.611135714285716,5.303571428571429
3,2024-03-19 02:00:00,Central and Western,77.29626666666667,82.53000833333333,8.075000000000001
4,2024-03-19 02:00:00,Kowloon City,5.8344,14.459091666666666,3.5979166666666664
5,2024-03-19 02:00:00,Yau Tsim Mong,43.5084,53.663635416666665,5.33125
6,2024-03-19 03:00:00,Central and Western,58.54506666666666,78.16730555555556,8.436111111111112
7,2024-03-19 03:00:00,Kowloon City,6.5026,12.94861875,3.5124999999999997
8,2024-03-19 03:00:00,Yau Tsim Mong,32.4844,49.581904513888894,6.852777777777778
9,2024-03-19 04:00:00,Central and Western,40.58773333333333,80.08030555555557,12.766666666666666
10,2024-03-19 04:00:00,Kowloon City,9.087,17.75503125,8.170833333333333
11,2024-03-19 04:00:00,Yau Tsim Mong,104.89266666666667,96.30892222222222,11.411111111111111
12,2024-03-19 05:00:00,Central and Western,29.83066666666667,84.42706666666668,18.3
13,2024-03-19 05:00:00,Kowloon City,5.9462,19.090145833333334,7.504166666666666
14,2024-03-19 05:00:00,Yau Tsim Mong,38.330933333333334,69.0353875,12.966666666666667
15,2024-03-19 06:00:00,Central and Western,37.12453333333333,87.67916666666667,18.663888888888888
16,2024-03-19 06:00:00,Kowloon City,4.0352,17.34851875,8.095833333333333
17,2024-03-19 06:00:00,Yau Tsim Mong,43.617599999999996,65.81517083333333,9.377083333333333
18,2024-03-19 07:00:00,Central and Western,42.98406666666667,116.81654791666666,19.769444444444442
19,2024-03-19 07:00:00,Kowloon City,3.2266,17.934375,7.077083333333333
20,2024-03-19 07:00:00,Yau Tsim Mong,27.136200000000002,66.811525,11.347916666666668
21,2024-03-19 08:00:00,Central and Western,34.1016,130.38689166666668,18.6125
22,2024-03-19 08:00:00,Kowloon City,2.46896,21.132273333333334,5.420000000000001
23,2024-03-19 08:00:00,Yau Tsim Mong,51.4358,79.51304791666666,9.654166666666667
24,2024-03-19 09:00:00,Central and Western,69.5916,146.34051458333334,18.195833333333333
25,2024-03-19 09:00:00,Kowloon City,1.59744,27.582271666666667,7.191666666666666
26,2024-03-19 09:00:00,Yau Tsim Mong,38.11818947368422,63.02076447368422,9.403947368421052
27,2024-03-19 10:00:00,Central and Western,50.0448,137.44107916666667,15.652083333333332
28,2024-03-19 10:00:00,Kowloon City,1.58704,23.966701666666665,6.385000000000001
29,2024-03-19 10:00:00,Yau Tsim Mong,32.6989,88.33676041666666,10.530208333333333
30,2024-03-19 11:00:00,Central and Western,33.0616,102.11833125,13.516666666666666
31,2024-03-19 11:00:00,Kowloon City,1.28128,22.87948,6.0566666666666675
32,2024-03-19 11:00:00,Yau Tsim Mong,45.2426,86.53136666666667,10.539583333333333
33,2024-03-19 12:00:00,Central and Western,16.419,78.64422708333333,10.747916666666667
34,2024-03-19 12:00:00,Kowloon City,1.3915199999999999,22.93687,6.05
35,2024-03-19 12:00:00,Yau Tsim Mong,25.876499999999997,58.462077083333334,10.538541666666667
36,2024-03-19 13:00:00,Central and Western,36.2908,87.89437916666667,12.356250000000001
37,2024-03-19 13:00:00,Kowloon City,1.49968,24.419445,6.1066666666666665
38,2024-03-19 13:00:00,Yau Tsim Mong,13.5096,50.90174166666667,10.659374999999999
39,2024-03-19 14:00:00,Central and Western,29.393,77.18556458333333,11.197916666666666
40,2024-03-19 14:00:00,Kowloon City,1.4871999999999999,21.336326666666665,5.428333333333334
41,2024-03-19 14:00:00,Yau Tsim Mong,14.675699999999999,49.34543645833333,10.525
42,2024-03-19 15:00:00,Central and Western,19.8796,59.255175,9.535416666666666
43,2024-03-19 15:00:00,Kowloon City,1.7888000000000002,16.91092,5.278333333333333
44,2024-03-19 15:00:00,Yau Tsim Mong,13.991900000000001,41.81897708333333,10.666041666666667
45,2024-03-19 16:00:00,Central and Western,11.448666666666668,49.17738472222222,9.036111111111111
46,2024-03-19 16:00:00,Kowloon City,0.8528000000000001,13.550416666666669,5.418333333333333
47,2024-03-19 16:00:00,Yau Tsim Mong,10.2297,35.376551041666666,10.730208333333332
48,2024-03-19 17:00:00,Central and Western,1.8928,58.075491666666665,8.694444444444445
49,2024-03-19 17:00:00,Kowloon City,0.30576,10.457733333333334,5.738333333333333
50,2024-03-19 17:00:00,Yau Tsim Mong,5.444400000000001,27.519302083333333,11.073958333333332
51,2024-03-19 18:00:00,Central and Western,0.29813333333333336,38.12183888888889,9.197222222222223
52,2024-03-19 18:00:00,Kowloon City,0.25792,9.000665,5.703333333333333
53,2024-03-19 18:00:00,Yau Tsim Mong,4.7671,23.167227083333334,11.36875
54,2024-03-19 19:00:00,Central and Western,3.4112000000000005,19.879258333333333,9.127777777777778
55,2024-03-19 19:00:00,Kowloon City,0.54548,7.428019583333334,5.886666666666667
56,2024-03-19 19:00:00,Yau Tsim Mong,4.321633333333334,17.781600694444446,11.11875
57,2024-03-19 20:00:00,Central and Western,0.5026666666666667,23.593666666666667,9.46111111111111
58,2024-03-19 20:00:00,Kowloon City,0.9516000000000001,9.91173125,6.202083333333333
59,2024-03-19 20:00:00,Yau Tsim Mong,4.338533333333333,19.743089930555556,11.559722222222222
60,2024-03-19 21:00:00,Central and Western,2.2983999999999996,20.309683333333336,9.741666666666667
61,2024-03-19 21:00:00,Kowloon City,1.2714,13.984827083333334,6.260416666666667
