date,time,irn_version,segments
2025-02-28,23:55:00,20221210,
2025-02-28,23:57:00,20221210,
2025-02-28,23:59:00,20221210,
2025-03-01,00:01:00,20221210,
2025-03-01,00:03:00,20221210,
2025-03-01,00:05:00,20221210,
2025-03-01,00:07:00,20221210,
2025-03-01,00:09:00,20221210,
2025-03-01,00:11:00,20221210,
2025-03-01,00:13:00,20221210,
2025-03-01,00:15:00,20221210,
2025-03-01,00:17:00,20221210,
2025-03-01,00:19:00,20221210,
2025-03-01,00:21:00,20221210,
2025-03-01,00:23:00,20221210,
2025-03-01,00:25:00,20221210,
2025-03-01,00:27:00,20221210,
2025-03-01,00:29:00,20221210,
2025-03-01,00:31:00,20221210,
2025-03-01,00:33:00,20221210,
2025-03-01,00:35:00,20221210,
2025-03-01,00:37:00,20221210,
2025-03-01,00:39:00,20221210,
2025-03-01,00:41:00,20221210,
2025-03-01,00:43:00,20221210,
2025-03-01,00:45:00,20221210,
2025-03-01,00:47:00,20221210,
2025-03-01,00:49:00,20221210,
2025-03-01,00:51:00,20221210,
2025-03-01,00:53:00,20221210,
2025-03-01,00:55:00,20221210,
2025-03-01,00:57:00,20221210,
2025-03-01,00:59:00,20221210,
2025-03-01,01:01:00,20221210,
2025-03-01,01:03:00,20221210,
2025-03-01,01:05:00,20221210,
2025-03-01,01:07:00,20221210,
2025-03-01,01:09:00,20221210,
2025-03-01,01:11:00,20221210,
2025-03-01,01:13:00,20221210,
2025-03-01,01:15:00,20221210,
2025-03-01,01:17:00,20221210,
2025-03-01,01:19:00,20221210,
2025-03-01,01:21:00,20221210,
2025-03-01,01:23:00,20221210,
2025-03-01,01:25:00,20221210,
2025-03-01,01:27:00,20221210,
2025-03-01,01:29:00,20221210,
2025-03-01,01:31:00,20221210,
2025-03-01,01:33:00,20221210,
2025-03-01,01:35:00,20221210,
2025-03-01,01:37:00,20221210,
2025-03-01,01:39:00,20221210,
2025-03-01,01:41:00,20221210,
2025-03-01,01:43:00,20221210,
2025-03-01,01:45:00,20221210,
2025-03-01,01:47:00,20221210,
2025-03-01,01:49:00,20221210,
2025-03-01,01:51:00,20221210,
2025-03-01,01:53:00,20221210,
2025-03-01,01:55:00,20221210,
2025-03-01,01:57:00,20221210,
2025-03-01,01:59:00,20221210,
2025-03-01,02:01:00,20221210,
2025-03-01,02:05:00,20221210,
2025-03-01,02:07:00,20221210,
2025-03-01,02:09:00,20221210,
2025-03-01,02:11:00,20221210,
2025-03-01,02:13:00,20221210,
2025-03-01,02:15:00,20221210,
2025-03-01,02:17:00,20221210,
2025-03-01,02:19:00,20221210,
2025-03-01,02:21:00,20221210,
2025-03-01,02:23:00,20221210,
2025-03-01,02:25:00,20221210,
2025-03-01,02:27:00,20221210,
2025-03-01,02:29:00,20221210,
2025-03-01,02:31:00,20221210,
2025-03-01,02:33:00,20221210,
2025-03-01,02:35:00,20221210,
2025-03-01,02:37:00,20221210,
2025-03-01,02:39:00,20221210,
2025-03-01,02:41:00,20221210,
2025-03-01,02:43:00,20221210,
2025-03-01,02:41:00,20221210,
2025-03-01,02:45:00,20221210,
2025-03-01,02:47:00,20221210,
2025-03-01,02:49:00,20221210,
2025-03-01,02:51:00,20221210,
2025-03-01,02:53:00,20221210,
2025-03-01,02:55:00,20221210,
2025-03-01,02:57:00,20221210,
2025-03-01,02:59:00,20221210,
2025-03-01,03:01:00,20221210,
2025-03-01,03:03:00,20221210,
2025-03-01,03:05:00,20221210,
2025-03-01,03:07:00,20221210,
2025-03-01,03:09:00,20221210,
2025-03-01,03:11:00,20221210,
2025-03-01,03:13:00,20221210,
